Year,Country,Count_incidents
2003,United Kingdom,1
2004,Greece,1
2005,France,1
2006,Belgium,2
2006,Denmark,1
2006,France,1
2006,Germany,3
2006,United Kingdom,3
2007,Austria,1
2007,Belgium,1
2007,Denmark,1
2007,Estonia,1
2007,France,4
2007,Germany,1
2007,Greece,1
2007,Hungary,1
2007,Italy,1
2007,Poland,1
2007,Spain,1
2007,Sweden,1
2007,United Kingdom,3
2008,Austria,1
2008,Belgium,2
2008,France,2
2008,Germany,1
2008,Lithuania,1
2008,United Kingdom,1
2009,Belgium,2
2009,France,1
2009,Germany,2
2009,Hungary,1
2009,Lithuania,1
2009,Netherlands,2
2009,Poland,1
2009,Slovakia,1
2009,Spain,3
2009,Sweden,1
2009,United Kingdom,2
2010,Belgium,1
2010,France,2
2010,Germany,2
2010,Latvia,1
2010,Netherlands,1
2010,Spain,2
2010,Sweden,1
2010,United Kingdom,4
2011,Austria,3
2011,Belgium,2
2011,Finland,1
2011,France,5
2011,Germany,3
2011,Ireland,1
2011,Italy,3
2011,Netherlands,1
2011,Spain,1
2011,Sweden,2
2011,United Kingdom,5
2012,Austria,1
2012,Belgium,1
2012,Croatia,1
2012,Denmark,1
2012,France,1
2012,Germany,4
2012,United Kingdom,10
2013,Austria,1
2013,Denmark,1
2013,Estonia,1
2013,Finland,1
2013,Germany,3
2013,Greece,1
2013,Italy,1
2013,Romania,2
2013,Slovakia,1
2013,Sweden,1
2013,United Kingdom,3
2014,Belgium,3
2014,Bulgaria,1
2014,Finland,1
2014,France,5
2014,Germany,6
2014,Hungary,1
2014,Netherlands,1
2014,Poland,1
2014,Romania,2
2014,Spain,1
2014,Sweden,1
2014,United Kingdom,6
2015,Denmark,1
2015,France,4
2015,Germany,2
2015,Italy,3
2015,Lithuania,1
2015,Netherlands,1
2015,Poland,1
2015,United Kingdom,10
2016,Austria,4
2016,Belgium,2
2016,Bulgaria,1
2016,Czech Republic,3
2016,Denmark,1
2016,France,3
2016,Germany,3
2016,Greece,1
2016,Ireland,1
2016,Italy,5
2016,Luxembourg,1
2016,Netherlands,2
2016,Poland,1
2016,Slovakia,1
2016,Spain,2
2016,Sweden,2
2016,United Kingdom,12
2017,Bulgaria,1
2017,Czech Republic,1
2017,Denmark,1
2017,France,3
2017,Germany,8
2017,Italy,3
2017,Latvia,1
2017,Lithuania,3
2017,Luxembourg,1
2017,Netherlands,3
2017,Poland,1
2017,Portugal,1
2017,Spain,3
2017,Sweden,2
2017,United Kingdom,8
2018,Belgium,1
2018,Cyprus,2
2018,France,1
2018,Germany,4
2018,Greece,3
2018,Italy,6
2018,Netherlands,1
2018,Poland,1
2018,Spain,2
2018,United Kingdom,7
2019,Belgium,1
2019,Bulgaria,1
2019,Croatia,1
2019,Cyprus,2
2019,Czech Republic,1
2019,France,2
2019,Germany,1
2019,Italy,1
2019,Lithuania,1
2019,Netherlands,1
2019,Poland,1
2019,Portugal,1
2019,Romania,1
2019,United Kingdom,6
2020,Germany,1
2020,Lithuania,1
2020,United Kingdom,1
2021,Belgium,1
2021,Czech Republic,2
2021,Finland,1
2021,France,2
2021,Germany,3
2021,Latvia,1
2021,Lithuania,1
2021,Poland,2
2021,Slovakia,1
2021,United Kingdom,4
2022,Finland,1
2022,France,3
2022,Germany,1
